Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,3+,Graduate,No,3998,341,277.0,360.0,0.0,Semiurban,N
Male,No,0,Not Graduate,No,8747,0,93.0,360.0,1.0,Urban,Y
Female,No,0,Graduate,No,7063,3654,203.0,360.0,0.0,Urban,Y
Male,Yes,0,Graduate,No,10898,4479,221.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,1500,0,189.0,360.0,1.0,Urban,Y
Female,Yes,1,Graduate,No,4204,2371,73.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,3612,836,239.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,1500,2321,226.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,8181,0,182.0,360.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,4189,0,,360.0,0.0,Semiurban,Y
Male,No,0,Graduate,No,7219,4130,156.0,360.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,12079,1340,134.0,240.0,1.0,Rural,Y
Male,No,2,Not Graduate,No,3940,6555,,360.0,1.0,Rural,Y
Female,Yes,0,Not Graduate,No,3737,1616,142.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,5356,0,81.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,7962,4567,67.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,3300,3077,87.0,180.0,1.0,Rural,Y
Male,No,0,Graduate,No,3107,3317,156.0,240.0,1.0,Urban,Y
Female,Yes,1,Graduate,No,8172,4477,138.0,,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,6136,0,155.0,360.0,1.0,Semiurban,Y
Male,Yes,2,Not Graduate,No,1500,1182,175.0,360.0,0.0,Urban,N
Male,Yes,3+,Graduate,No,1500,1071,96.0,360.0,1.0,Semiurban,Y
Female,No,0,Graduate,No,9504,0,243.0,360.0,1.0,Rural,Y
Female,No,0,Not Graduate,Yes,6206,841,121.0,360.0,1.0,Rural,Y
Male,No,0,Not Graduate,,2713,4841,110.0,360.0,1.0,Urban,Y
Male,No,1,Graduate,No,4489,2093,174.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,5040,0,20.0,240.0,0.0,Rural,Y
Male,No,2,Not Graduate,No,7207,0,85.0,360.0,0.0,Semiurban,Y
Male,Yes,2,Graduate,No,1500,5662,209.0,360.0,1.0,Urban,Y
Male,Yes,2,Graduate,No,2477,1274,20.0,240.0,1.0,Rural,N
Male,Yes,0,Not Graduate,No,5819,0,218.0,120.0,1.0,Rural,Y
Female,No,3+,Not Graduate,No,4700,815,246.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,No,6716,0,114.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,1500,5058,160.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,Yes,6071,517,218.0,360.0,1.0,Rural,N
Male,Yes,3+,Graduate,No,8275,4919,107.0,360.0,1.0,Urban,Y
Male,Yes,0,Graduate,No,6460,1629,201.0,,1.0,Rural,Y
Male,No,2,Graduate,Yes,5417,5074,93.0,360.0,1.0,Urban,N
Male,No,0,Graduate,No,4712,2142,107.0,360.0,1.0,Rural,Y
Male,Yes,3+,Graduate,No,2495,3633,84.0,360.0,1.0,Rural,Y
Male,No,0,Graduate,No,4784,3298,164.0,120.0,1.0,Semiurban,Y
Female,Yes,0,Graduate,No,8779,3058,221.0,360.0,1.0,Rural,Y
Male,No,3+,Graduate,No,4643,2370,127.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,2331,918,51.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,3523,6289,64.0,120.0,1.0,Rural,Y
Female,Yes,0,Graduate,No,5603,0,168.0,360.0,1.0,Urban,Y
Male,Yes,0,Not Graduate,Yes,3879,1511,269.0,120.0,1.0,Rural,N
Male,No,0,Graduate,No,6456,1537,168.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,6569,2506,113.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,7667,426,194.0,360.0,1.0,Rural,Y
Male,Yes,2,Graduate,Yes,9271,2287,123.0,360.0,1.0,Semiurban,Y
Male,No,0,Graduate,Yes,7988,1078,114.0,120.0,1.0,Urban,Y
Male,No,0,Graduate,No,2197,0,73.0,360.0,1.0,Urban,Y
Male,,0,Graduate,No,2289,1524,239.0,360.0,,Semiurban,Y
Male,Yes,0,Graduate,No,4773,0,,360.0,1.0,Urban,Y
Male,Yes,1,Graduate,No,3646,0,196.0,360.0,1.0,Urban,Y
Male,Yes,3+,Graduate,No,1585,1842,108.0,360.0,1.0,Semiurban,Y
,Yes,3+,Graduate,No,3675,2720,111.0,360.0,1.0,Semiurban,Y
Male,,0,Graduate,No,3576,2817,258.0,240.0,1.0,Semiurban,Y
Male,No,0,Graduate,No,2984,2918,90.0,180.0,1.0,Rural,Y
Male,Yes,0,Not Graduate,No,4053,0,92.0,240.0,1.0,Semiurban,Y
Male,Yes,,Graduate,No,8535,0,131.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,5598,6434,169.0,360.0,1.0,Rural,Y
,Yes,1,Graduate,No,12415,0,109.0,360.0,1.0,Rural,Y
Male,Yes,0,Graduate,No,5512,3027,30.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,No,4130,0,,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5012,1699,230.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Not Graduate,No,5769,0,145.0,360.0,,Urban,Y
Male,Yes,0,Graduate,Yes,6306,2904,172.0,360.0,1.0,Rural,Y
Male,Yes,,Graduate,No,11230,1842,122.0,240.0,1.0,Urban,Y
Male,Yes,1,Not Graduate,Yes,2464,379,94.0,360.0,1.0,Semiurban,Y
Male,Yes,0,Graduate,Yes,7577,0,257.0,360.0,1.0,Urban,Y
Female,Yes,0,Graduate,No,5623,2169,127.0,360.0,1.0,Urban,Y
Male,No,0,Graduate,No,1500,0,109.0,360.0,1.0,Semiurban,Y
Male,No,2,Graduate,No,7312,2569,217.0,240.0,0.0,Rural,Y
Male,Yes,0,Graduate,No,8803,8066,89.0,360.0,,Semiurban,Y
